"ID","TOTAL_FLG","END_DATE","BEGIN_DATE","TITLE"
"1","0","2005/12/31","2005/03/01","2005年度通算"
"2","0","2006/07/31","2006/03/01","2006年度前期シーズン"
"3","0","2006/12/31","2006/08/01","2006年度後期シーズン"
"4","1","2006/12/31","2006/03/01","2006年度通算"
"5","0","2007/06/30","2007/03/01","2007年度前期シーズン"
"6","0","2007/11/30","2007/07/01","2007年度後期シーズン"
"7","1","2007/11/30","2007/03/01","2007年度通算"
"8","0","2008/07/31","2008/04/01","2008年度前期シーズン"
"9","0","2008/12/31","2008/08/01","2008年度後期シーズン"
"10","1","2008/12/31","2008/04/01","2008年度通算"
"11","0","2009/06/30","2009/01/01","2009年度前期シーズン"
"12","0","2009/12/31","2009/07/01","2009年度後期シーズン"
"13","1","2009/12/31","2009/01/01","2009年度通算"
"14","0","2010/06/30","2010/01/01","2010年度前期シーズン"
"15","0","2010/12/31","2010/07/01","2010年度後期マイカラーボール石山シーズン"
"16","1","2010/12/31","2010/01/01","2010年度通算"
"17","0","2011/06/30","2011/01/01","2011年度前期マイカラーボール石山シーズン"
"18","0","2011/12/31","2011/07/01","2011年度後期マイカラーボール石山シーズン"
"19","1","2011/12/31","2011/01/01","2011年度通算"
"20","0","2012/06/30","2012/01/01","2012年度前期マイカラーボール石山シーズン"
"21","0","2012/12/31","2012/07/01","2012年度後期フライングガーデンシーズン"
"22","1","2012/12/31","2012/01/01","2012年度通算"
"23","0","2013/06/30","2013/01/01","2013年度前期マイカラーボール石山シーズン"
"24","0","2013/12/31","2013/07/01","2013年度後期マイカラーボール石山シーズン"
"25","1","2013/12/31","2013/01/01","2013年度通算"
"26","0","2014/06/30","2014/01/01","2014年度前期マイカラーボール石山シーズン"
"27","0","2014/12/31","2014/07/01","2014年度後期マイカラーボール石山シーズン"
"28","1","2014/12/31","2014/01/01","2014年度通算"
"29","0","2015/06/30","2015/01/01","2015年度前期マイカラーボール石山シーズン"
"30","0","2015/12/31","2015/07/01","2015年度後期マイカラーボール石山シーズン"
"31","1","2015/12/31","2015/01/01","2015年度通算"
